Rank,Name,Count,Sex,Year
1,noah,2621,Male,2021
2,liam,2487,Male,2021
3,mateo,2125,Male,2021
4,sebastian,2056,Male,2021
5,julian,1733,Male,2021
6,benjamin,1617,Male,2021
7,oliver,1534,Male,2021
8,elijah,1515,Male,2021
9,alexander,1495,Male,2021
10,daniel,1440,Male,2021
11,ethan,1419,Male,2021
12,lucas,1382,Male,2021
13,ezekiel,1284,Male,2021
14,santiago,1264,Male,2021
15,aiden,1241,Male,2021
16,jacob,1222,Male,2021
17,matthew,1181,Male,2021
18,james,1168,Male,2021
19,ezra,1134,Male,2021
20,levi,1097,Male,2021
21,michael,1093,Male,2021
22,jayden,1092,Male,2021
23,leo,1084,Male,2021
24,david,1074,Male,2021
25,adrian,1067,Male,2021
1,noah,2640,Male,2020
2,liam,2429,Male,2020
3,mateo,2078,Male,2020
4,sebastian,2000,Male,2020
5,julian,1688,Male,2020
6,ethan,1657,Male,2020
7,benjamin,1648,Male,2020
8,elijah,1595,Male,2020
9,alexander,1591,Male,2020
10,oliver,1541,Male,2020
11,daniel,1490,Male,2020
12,lucas,1355,Male,2020
13,matthew,1345,Male,2020
14,jacob,1303,Male,2020
15,aiden,1273,Male,2020
16,santiago,1215,Male,2020
17,jayden,1206,Male,2020
18,david,1165,Male,2020
19,james,1156,Male,2020
20,logan,1153,Male,2020
21,ezekiel,1141,Male,2020
22,nathan,1099,Male,2020
23,adrian,1093,Male,2020
24,dylan,1085,Male,2020
25,michael,1077,Male,2020
1,noah,2686,Male,2019
2,liam,2406,Male,2019
3,mateo,2222,Male,2019
4,sebastian,2154,Male,2019
5,ethan,2101,Male,2019
6,julian,1860,Male,2019
7,alexander,1838,Male,2019
8,benjamin,1760,Male,2019
9,daniel,1747,Male,2019
10,lucas,1724,Male,2019
11,jacob,1661,Male,2019
12,oliver,1613,Male,2019
13,matthew,1566,Male,2019
14,elijah,1513,Male,2019
15,jayden,1413,Male,2019
16,aiden,1405,Male,2019
17,santiago,1359,Male,2019
18,james,1354,Male,2019
19,isaac,1320,Male,2019
20,logan,1277,Male,2019
21,david,1256,Male,2019
22,michael,1238,Male,2019
23,mason,1233,Male,2019
24,anthony,1226,Male,2019
25,dylan,1203,Male,2019
1,noah,2578,Male,2018
2,liam,2415,Male,2018
3,sebastian,2217,Male,2018
4,mateo,2104,Male,2018
5,ethan,2060,Male,2018
6,daniel,1998,Male,2018
7,julian,1941,Male,2018
8,alexander,1908,Male,2018
9,benjamin,1768,Male,2018
10,jacob,1718,Male,2018
11,matthew,1703,Male,2018
12,lucas,1556,Male,2018
13,jayden,1548,Male,2018
14,oliver,1509,Male,2018
15,aiden,1479,Male,2018
16,james,1461,Male,2018
17,logan,1458,Male,2018
18,david,1457,Male,2018
19,elijah,1440,Male,2018
20,dylan,1371,Male,2018
21,michael,1354,Male,2018
22,nathan,1335,Male,2018
23,isaac,1328,Male,2018
24,william,1303,Male,2018
25,mason,1302,Male,2018
1,noah,2513,Male,2017
2,sebastian,2267,Male,2017
3,liam,2187,Male,2017
4,ethan,2147,Male,2017
5,matthew,2132,Male,2017
6,daniel,2088,Male,2017
7,jacob,2054,Male,2017
8,mateo,2007,Male,2017
9,alexander,1998,Male,2017
10,julian,1940,Male,2017
11,benjamin,1850,Male,2017
12,logan,1774,Male,2017
13,jayden,1688,Male,2017
14,lucas,1633,Male,2017
15,aiden,1632,Male,2017
16,oliver,1561,Male,2017
17,david,1553,Male,2017
18,aaron,1528,Male,2017
19,nathan,1518,Male,2017
20,dylan,1513,Male,2017
21,james,1508,Male,2017
22,michael,1507,Male,2017
23,elijah,1486,Male,2017
24,anthony,1439,Male,2017
25,isaac,1423,Male,2017
1,noah,2687,Male,2016
2,matthew,2410,Male,2016
3,ethan,2329,Male,2016
4,daniel,2292,Male,2016
5,sebastian,2265,Male,2016
6,jacob,2260,Male,2016
7,alexander,2218,Male,2016
8,julian,2040,Male,2016
9,liam,2028,Male,2016
10,benjamin,1914,Male,2016
11,jayden,1850,Male,2016
12,mateo,1848,Male,2016
13,michael,1764,Male,2016
14,aiden,1748,Male,2016
15,david,1712,Male,2016
16,nathan,1693,Male,2016
17,anthony,1654,Male,2016
18,lucas,1635,Male,2016
19,james,1628,Male,2016
20,elijah,1568,Male,2016
21,isaac,1566,Male,2016
22,aaron,1556,Male,2016
23,oliver,1547,Male,2016
24,dylan,1531,Male,2016
25,mason,1521,Male,2016
1,noah,2754,Male,2015
2,jacob,2549,Male,2015
3,daniel,2468,Male,2015
4,ethan,2466,Male,2015
5,matthew,2423,Male,2015
6,alexander,2304,Male,2015
7,jayden,2134,Male,2015
8,sebastian,2073,Male,2015
9,liam,2023,Male,2015
10,david,1932,Male,2015
11,julian,1900,Male,2015
12,aiden,1896,Male,2015
13,michael,1857,Male,2015
14,nathan,1855,Male,2015
15,benjamin,1819,Male,2015
16,anthony,1766,Male,2015
17,isaac,1714,Male,2015
18,mason,1694,Male,2015
19,dylan,1681,Male,2015
20,andrew,1607,Male,2015
21,james,1537,Male,2015
22,angel,1534,Male,2015
23,joseph,1518,Male,2015
24,adrian,1517,Male,2015
25,elijah,1509,Male,2015
1,noah,2766,Male,2014
2,jacob,2694,Male,2014
3,ethan,2561,Male,2014
4,daniel,2550,Male,2014
5,alexander,2485,Male,2014
6,matthew,2468,Male,2014
7,jayden,2366,Male,2014
8,anthony,2074,Male,2014
9,sebastian,2029,Male,2014
10,david,2004,Male,2014
11,michael,1989,Male,2014
12,julian,1906,Male,2014
13,andrew,1904,Male,2014
14,benjamin,1873,Male,2014
15,aiden,1867,Male,2014
16,nathan,1865,Male,2014
17,liam,1861,Male,2014
18,mason,1819,Male,2014
19,isaac,1795,Male,2014
20,angel,1650,Male,2014
21,aaron,1649,Male,2014
22,dylan,1647,Male,2014
23,james,1583,Male,2014
24,adrian,1576,Male,2014
25,logan,1546,Male,2014
1,jacob,2879,Male,2013
2,ethan,2655,Male,2013
3,daniel,2598,Male,2013
4,jayden,2576,Male,2013
5,matthew,2553,Male,2013
6,noah,2542,Male,2013
7,alexander,2374,Male,2013
8,anthony,2225,Male,2013
9,nathan,2075,Male,2013
10,david,2039,Male,2013
11,michael,1969,Male,2013
12,andrew,1919,Male,2013
13,julian,1858,Male,2013
14,benjamin,1844,Male,2013
15,isaac,1763,Male,2013
16,aiden,1761,Male,2013
17,angel,1758,Male,2013
18,mason,1740,Male,2013
19,liam,1692,Male,2013
20,adrian,1677,Male,2013
21,sebastian,1661,Male,2013
22,dylan,1631,Male,2013
23,joshua,1616,Male,2013
24,joseph,1535,Male,2013
25,aaron,1519,Male,2013
25,jonathan,1519,Male,2013
1,jacob,2959,Male,2012
2,jayden,2850,Male,2012
3,ethan,2665,Male,2012
4,daniel,2661,Male,2012
5,matthew,2624,Male,2012
6,noah,2502,Male,2012
