Rank,Name,Count,Gender,Year
1,oliver,695,Male,2021
2,noah,633,Male,2021
3,jack,459,Male,2021
4,william,458,Male,2021
5,henry,444,Male,2021
6,leo,424,Male,2021
7,lucas,410,Male,2021
8,theodore,378,Male,2021
9,levi,339,Male,2021
10,liam,336,Male,2021
11,elijah,331,Male,2021
12,thomas,330,Male,2021
13,charlie,327,Male,2021
14,archie,327,Male,2021
15,hudson,324,Male,2021
16,luca,317,Male,2021
17,alexander,314,Male,2021
18,james,310,Male,2021
19,ethan,285,Male,2021
20,lachlan,274,Male,2021
21,oscar,272,Male,2021
22,harrison,270,Male,2021
23,isaac,268,Male,2021
24,cooper,259,Male,2021
25,max,253,Male,2021
26,george,245,Male,2021
27,arthur,241,Male,2021
28,sebastian,240,Male,2021
29,kai,238,Male,2021
30,hunter,236,Male,2021
31,harvey,234,Male,2021
32,benjamin,234,Male,2021
33,harry,232,Male,2021
34,arlo,231,Male,2021
35,hugo,230,Male,2021
36,mason,224,Male,2021
37,jacob,224,Male,2021
38,archer,214,Male,2021
39,samuel,210,Male,2021
40,beau,199,Male,2021
41,xavier,195,Male,2021
42,joshua,192,Male,2021
43,finn,190,Male,2021
44,joseph,188,Male,2021
45,ryan,182,Male,2021
46,edward,173,Male,2021
47,muhammad,172,Male,2021
48,louis,169,Male,2021
49,austin,167,Male,2021
50,logan,165,Male,2021
51,daniel,164,Male,2021
52,adam,163,Male,2021
53,michael,162,Male,2021
54,sonny,161,Male,2021
55,jackson,160,Male,2021
56,jasper,157,Male,2021
57,gabriel,157,Male,2021
58,jordan,153,Male,2021
59,patrick,152,Male,2021
60,leon,151,Male,2021
61,riley,149,Male,2021
62,aiden,148,Male,2021
63,carter,147,Male,2021
64,eli,146,Male,2021
65,jayden,144,Male,2021
66,luka,142,Male,2021
67,ali,142,Male,2021
68,lincoln,141,Male,2021
69,theo,134,Male,2021
70,river,133,Male,2021
71,flynn,129,Male,2021
72,felix,128,Male,2021
73,christian,126,Male,2021
74,leonardo,125,Male,2021
75,billy,124,Male,2021
76,zachary,122,Male,2021
77,asher,122,Male,2021
78,elias,119,Male,2021
79,lennox,118,Male,2021
80,bodhi,118,Male,2021
81,nicholas,117,Male,2021
82,angus,115,Male,2021
83,jude,110,Male,2021
84,roman,108,Male,2021
85,vincent,106,Male,2021
86,matthew,106,Male,2021
87,ezra,105,Male,2021
88,ari,105,Male,2021
89,charles,104,Male,2021
90,luke,103,Male,2021
91,spencer,102,Male,2021
92,ashton,102,Male,2021
93,zayn,100,Male,2021
94,koa,100,Male,2021
95,owen,99,Male,2021
96,jaxon,99,Male,2021
97,maxwell,98,Male,2021
98,isaiah,97,Male,2021
99,anthony,97,Male,2021
100,tyler,96,Male,2021
1,oliver,637,Male,2020
2,noah,593,Male,2020
3,william,478,Male,2020
4,leo,420,Male,2020
5,lucas,409,Male,2020
6,liam,383,Male,2020
7,jack,376,Male,2020
8,henry,374,Male,2020
9,elijah,371,Male,2020
10,thomas,351,Male,2020
11,james,344,Male,2020
11,alexander,344,Male,2020
13,charlie,335,Male,2020
14,levi,317,Male,2020
15,theodore,313,Male,2020
16,hudson,307,Male,2020
17,jacob,293,Male,2020
18,archie,290,Male,2020
19,ethan,287,Male,2020
20,harrison,286,Male,2020
21,mason,270,Male,2020
22,hunter,264,Male,2020
23,isaac,259,Male,2020
24,oscar,245,Male,2020
25,cooper,243,Male,2020
26,lachlan,239,Male,2020
27,luca,238,Male,2020
28,george,231,Male,2020
29,benjamin,227,Male,2020
30,harry,223,Male,2020
31,harvey,222,Male,2020
32,samuel,221,Male,2020
33,hugo,212,Male,2020
34,max,211,Male,2020
35,archer,209,Male,2020
36,sebastian,205,Male,2020
37,arlo,194,Male,2020
38,logan,193,Male,2020
39,muhammad,190,Male,2020
39,finn,190,Male,2020
41,xavier,183,Male,2020
42,ryan,182,Male,2020
42,edward,182,Male,2020
44,arthur,181,Male,2020
45,jayden,180,Male,2020
46,jackson,176,Male,2020
47,joshua,175,Male,2020
47,daniel,175,Male,2020
49,joseph,173,Male,2020
50,adam,171,Male,2020
50,kai,171,Male,2020
50,jordan,171,Male,2020
53,riley,165,Male,2020
54,eli,164,Male,2020
55,louis,163,Male,2020
56,aiden,161,Male,2020
57,jasper,158,Male,2020
58,austin,154,Male,2020
59,gabriel,150,Male,2020
60,beau,149,Male,2020
61,michael,147,Male,2020
62,lincoln,143,Male,2020
63,flynn,142,Male,2020
63,ali,142,Male,2020
65,carter,141,Male,2020
66,connor,130,Male,2020
67,charles,128,Male,2020
67,sonny,128,Male,2020
67,spencer,128,Male,2020
70,jaxon,124,Male,2020
70,zachary,124,Male,2020
72,ashton,120,Male,2020
73,jude,117,Male,2020
74,patrick,116,Male,2020
74,luke,116,Male,2020
74,matthew,116,Male,2020
74,owen,116,Male,2020
78,isaiah,113,Male,2020
79,nicholas,111,Male,2020
79,luka,111,Male,2020
81,leonardo,110,Male,2020
82,christian,109,Male,2020
83,angus,107,Male,2020
83,marcus,107,Male,2020
85,bodhi,106,Male,2020
86,theo,104,Male,2020
87,leon,103,Male,2020
