Rank,Name,Count,Gender,Year
1,olivia,493,Female,2021
2,amelia,489,Female,2021
3,charlotte,486,Female,2021
4,isla,439,Female,2021
5,ava,414,Female,2021
6,mia,375,Female,2021
7,grace,367,Female,2021
8,chloe,335,Female,2021
9,matilda,326,Female,2021
10,ella,322,Female,2021
11,sienna,305,Female,2021
12,sophia,299,Female,2021
13,isabella,290,Female,2021
14,willow,275,Female,2021
15,lily,266,Female,2021
16,zoe,264,Female,2021
17,evie,258,Female,2021
18,harper,256,Female,2021
19,audrey,251,Female,2021
20,sophie,246,Female,2021
21,evelyn,245,Female,2021
22,mila,242,Female,2021
23,sofia,231,Female,2021
24,ivy,231,Female,2021
25,ruby,221,Female,2021
26,aria,219,Female,2021
27,hazel,210,Female,2021
28,maya,197,Female,2021
29,zara,193,Female,2021
30,lucy,192,Female,2021
31,florence,188,Female,2021
32,georgia,188,Female,2021
33,luna,184,Female,2021
34,violet,183,Female,2021
35,emily,182,Female,2021
36,daisy,182,Female,2021
37,aurora,182,Female,2021
38,layla,181,Female,2021
39,hannah,179,Female,2021
40,scarlett,178,Female,2021
41,frankie,176,Female,2021
42,ellie,167,Female,2021
43,penelope,165,Female,2021
44,isabelle,165,Female,2021
45,emilia,163,Female,2021
46,ayla,163,Female,2021
47,poppy,160,Female,2021
48,eleanor,155,Female,2021
49,abigail,151,Female,2021
50,emma,147,Female,2021
51,eva,142,Female,2021
52,elsie,141,Female,2021
53,billie,136,Female,2021
54,mackenzie,134,Female,2021
55,freya,134,Female,2021
56,lola,133,Female,2021
57,bonnie,130,Female,2021
58,alice,128,Female,2021
59,stella,126,Female,2021
60,remi,126,Female,2021
61,olive,124,Female,2021
62,millie,123,Female,2021
63,eloise,123,Female,2021
64,harriet,119,Female,2021
65,elena,119,Female,2021
66,piper,113,Female,2021
67,lara,104,Female,2021
68,eliana,104,Female,2021
69,addison,103,Female,2021
70,savannah,102,Female,2021
71,bella,100,Female,2021
72,phoebe,99,Female,2021
73,ariana,99,Female,2021
74,summer,98,Female,2021
75,aaliyah,97,Female,2021
76,sadie,96,Female,2021
77,rose,94,Female,2021
78,maeve,92,Female,2021
79,claire,89,Female,2021
80,imogen,88,Female,2021
81,zoey,87,Female,2021
82,leah,87,Female,2021
83,jasmine,87,Female,2021
84,elizabeth,87,Female,2021
85,anna,87,Female,2021
86,eden,86,Female,2021
87,riley,84,Female,2021
88,pippa,84,Female,2021
89,nora,83,Female,2021
90,valentina,82,Female,2021
91,gabriella,82,Female,2021
92,charlie,82,Female,2021
93,quinn,81,Female,2021
94,hallie,80,Female,2021
95,delilah,80,Female,2021
96,sarah,79,Female,2021
97,lyla,79,Female,2021
98,eliza,79,Female,2021
99,adeline,79,Female,2021
100,molly,78,Female,2021
1,amelia,514,Female,2020
